date,country,D,H,I,M,S
2021-10-25,Sweden,1,0,0,9,0
2021-10-26,Afghanistan,3,0,0,37,0
2021-10-26,Japan,25,0,0,101,0
2021-10-26,Sweden,1,0,0,9,0
2021-10-27,Afghanistan,3,0,0,37,0
2021-10-27,Japan,25,0,0,101,0
2021-10-27,Sweden,1,0,0,9,0
2021-10-28,Afghanistan,3,0,0,37,0
2021-10-28,Japan,25,0,0,101,0
2021-10-28,Sweden,1,0,0,9,0
2021-10-29,Afghanistan,3,0,0,37,0
2021-10-29,Japan,25,0,0,101,0
2021-10-29,Sweden,1,0,0,9,0
2021-10-30,Afghanistan,3,0,0,37,0
2021-10-30,Japan,25,0,0,101,0
2021-10-30,Sweden,1,0,0,9,0
2021-10-31,Afghanistan,3,0,0,37,0
2021-10-31,Japan,25,0,0,101,0
2021-10-31,Sweden,1,0,0,9,0
2021-11-01,Afghanistan,3,0,0,37,0
2021-11-01,Japan,25,0,0,101,0
2021-11-01,Sweden,1,0,0,9,0
2021-11-02,Afghanistan,3,0,0,37,0
2021-11-02,Japan,25,0,0,101,0
2021-11-02,Sweden,1,0,0,9,0
2021-11-03,Afghanistan,3,0,0,37,0
2021-11-03,Japan,25,0,0,101,0
2021-11-03,Sweden,1,0,0,9,0
2021-11-04,Afghanistan,3,0,0,37,0
2021-11-04,Japan,25,0,0,101,0
2021-11-04,Sweden,1,0,0,9,0
2021-11-05,Afghanistan,3,0,0,37,0
2021-11-05,Japan,25,0,0,101,0
2021-11-05,Sweden,1,0,0,9,0
2021-11-06,Afghanistan,3,0,0,37,0
2021-11-06,Japan,25,0,0,101,0
2021-11-06,Sweden,1,0,0,9,0
2021-11-07,Afghanistan,3,0,0,37,0
2021-11-07,Japan,25,0,0,101,0
2021-11-07,Sweden,1,0,0,9,0
2021-11-08,Afghanistan,3,0,0,37,0
2021-11-08,Japan,25,0,0,101,0
2021-11-08,Sweden,1,0,0,9,0
2021-11-09,Afghanistan,3,0,0,37,0
2021-11-09,Japan,25,0,0,101,0
2021-11-09,Sweden,1,0,0,9,0
2021-11-10,Afghanistan,3,0,0,37,0
2021-11-10,Japan,25,0,0,101,0
2021-11-10,Sweden,1,0,0,9,0
